Survived,Category,Sex_male,Age,Accompagné,Passenger/Crew,Naufrage,Jour,Beaufort,Hauteur_mer
0,3.0,0,16.0,1,Passenger,Titanic,0,1,0.1
0,2.0,0,21.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,26.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,32.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,25.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,26.5,0,Passenger,Titanic,0,1,0.1
0,3.0,0,26.5,0,Passenger,Titanic,0,1,0.1
1,2.0,0,0.83,1,Passenger,Titanic,0,1,0.1
1,3.0,0,30.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,22.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,29.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,22.0,0,Passenger,Titanic,0,1,0.1
0,1.0,0,28.0,0,Passenger,Titanic,0,1,0.1
1,2.0,0,17.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,33.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,16.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,26.5,0,Passenger,Titanic,0,1,0.1
1,1.0,0,23.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,24.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,29.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,20.0,0,Passenger,Titanic,0,1,0.1
0,1.0,0,46.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,26.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,59.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,26.5,0,Passenger,Titanic,0,1,0.1
0,1.0,0,71.0,0,Passenger,Titanic,0,1,0.1
1,1.0,0,23.0,1,Passenger,Titanic,0,1,0.1
1,2.0,0,34.0,1,Passenger,Titanic,0,1,0.1
0,2.0,0,34.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,28.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,26.5,0,Passenger,Titanic,0,1,0.1
0,1.0,0,21.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,33.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,37.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,28.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,21.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,27.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,38.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,21.5,1,Passenger,Titanic,0,1,0.1
0,1.0,0,47.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,14.5,1,Passenger,Titanic,0,1,0.1
0,3.0,0,22.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,20.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,17.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,21.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,70.5,0,Passenger,Titanic,0,1,0.1
0,2.0,0,29.0,1,Passenger,Titanic,0,1,0.1
0,1.0,0,24.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,2.0,1,Passenger,Titanic,0,1,0.1
0,2.0,0,21.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,26.5,0,Passenger,Titanic,0,1,0.1
0,2.0,0,32.5,1,Passenger,Titanic,0,1,0.1
1,2.0,0,32.5,0,Passenger,Titanic,0,1,0.1
0,1.0,0,54.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,12.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,26.5,0,Passenger,Titanic,0,1,0.1
1,3.0,0,24.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,21.5,1,Passenger,Titanic,0,1,0.1
0,3.0,0,45.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,33.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,20.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,47.0,1,Passenger,Titanic,0,1,0.1
1,2.0,0,29.0,1,Passenger,Titanic,0,1,0.1
0,2.0,0,25.0,0,Passenger,Titanic,0,1,0.1
0,2.0,0,23.0,0,Passenger,Titanic,0,1,0.1
1,1.0,0,19.0,1,Passenger,Titanic,0,1,0.1
0,1.0,0,37.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,16.0,0,Passenger,Titanic,0,1,0.1
0,1.0,0,24.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,24.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,22.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,24.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,19.0,0,Passenger,Titanic,0,1,0.1
0,2.0,0,18.0,0,Passenger,Titanic,0,1,0.1
0,2.0,0,19.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,27.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,9.0,1,Passenger,Titanic,0,1,0.1
0,2.0,0,36.5,1,Passenger,Titanic,0,1,0.1
0,2.0,0,42.0,0,Passenger,Titanic,0,1,0.1
0,2.0,0,51.0,0,Passenger,Titanic,0,1,0.1
1,1.0,0,22.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,55.5,0,Passenger,Titanic,0,1,0.1
0,3.0,0,40.5,1,Passenger,Titanic,0,1,0.1
0,3.0,0,26.5,0,Passenger,Titanic,0,1,0.1
0,1.0,0,51.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,16.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,30.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,26.5,0,Passenger,Titanic,0,1,0.1
0,3.0,0,44.0,1,Passenger,Titanic,0,1,0.1
1,2.0,0,40.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,26.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,17.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,1.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,9.0,1,Passenger,Titanic,0,1,0.1
1,1.0,0,31.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,45.0,1,Passenger,Titanic,0,1,0.1
0,1.0,0,47.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,28.0,0,Passenger,Titanic,0,1,0.1
0,1.0,0,61.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,4.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,1.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,21.0,0,Passenger,Titanic,0,1,0.1
0,1.0,0,56.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,18.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,4.0,1,Passenger,Titanic,0,1,0.1
0,1.0,0,50.0,0,Passenger,Titanic,0,1,0.1
0,2.0,0,30.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,36.0,0,Passenger,Titanic,0,1,0.1
0,2.0,0,30.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,9.0,1,Passenger,Titanic,0,1,0.1
1,2.0,0,1.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,4.0,1,Passenger,Titanic,0,1,0.1
0,1.0,0,47.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,21.5,1,Passenger,Titanic,0,1,0.1
1,1.0,0,45.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,40.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,36.0,0,Passenger,Titanic,0,1,0.1
1,2.0,0,32.0,0,Passenger,Titanic,0,1,0.1
0,2.0,0,19.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,19.0,1,Passenger,Titanic,0,1,0.1
1,2.0,0,3.0,1,Passenger,Titanic,0,1,0.1
1,1.0,0,44.0,0,Passenger,Titanic,0,1,0.1
1,1.0,0,58.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,26.5,0,Passenger,Titanic,0,1,0.1
0,3.0,0,42.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,22.0,0,Passenger,Titanic,0,1,0.1
0,2.0,0,24.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,28.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,34.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,45.5,0,Passenger,Titanic,0,1,0.1
1,3.0,0,18.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,2.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,32.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,26.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,16.0,0,Passenger,Titanic,0,1,0.1
1,1.0,0,40.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,24.0,0,Passenger,Titanic,0,1,0.1
1,2.0,0,35.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,22.0,0,Passenger,Titanic,0,1,0.1
0,2.0,0,30.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,26.0,1,Passenger,Titanic,0,1,0.1
1,1.0,0,31.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,27.0,0,Passenger,Titanic,0,1,0.1
0,2.0,0,42.0,1,Passenger,Titanic,0,1,0.1
1,1.0,0,32.0,0,Passenger,Titanic,0,1,0.1
0,2.0,0,30.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,16.0,0,Passenger,Titanic,0,1,0.1
0,2.0,0,27.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,51.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,26.5,0,Passenger,Titanic,0,1,0.1
1,1.0,0,38.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,22.0,0,Passenger,Titanic,0,1,0.1
1,2.0,0,19.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,20.5,0,Passenger,Titanic,0,1,0.1
0,2.0,0,18.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,5.5,1,Passenger,Titanic,0,1,0.1
1,1.0,0,35.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,29.0,0,Passenger,Titanic,0,1,0.1
0,2.0,0,59.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,5.0,1,Passenger,Titanic,0,1,0.1
0,2.0,0,24.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,24.0,0,Passenger,Titanic,0,1,0.1
0,2.0,0,44.0,1,Passenger,Titanic,0,1,0.1
1,2.0,0,8.0,1,Passenger,Titanic,0,1,0.1
0,2.0,0,19.0,0,Passenger,Titanic,0,1,0.1
0,2.0,0,33.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,29.5,1,Passenger,Titanic,0,1,0.1
1,3.0,0,21.5,1,Passenger,Titanic,0,1,0.1
0,2.0,0,29.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,22.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,30.0,0,Passenger,Titanic,0,1,0.1
0,1.0,0,44.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,25.0,0,Passenger,Titanic,0,1,0.1
1,2.0,0,24.0,1,Passenger,Titanic,0,1,0.1
1,1.0,0,37.0,1,Passenger,Titanic,0,1,0.1
0,2.0,0,54.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,26.5,0,Passenger,Titanic,0,1,0.1
0,3.0,0,29.0,1,Passenger,Titanic,0,1,0.1
0,1.0,0,62.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,30.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,41.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,29.0,1,Passenger,Titanic,0,1,0.1
1,1.0,0,31.0,0,Passenger,Titanic,0,1,0.1
1,1.0,0,30.0,0,Passenger,Titanic,0,1,0.1
1,1.0,0,35.0,0,Passenger,Titanic,0,1,0.1
1,2.0,0,50.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,26.5,0,Passenger,Titanic,0,1,0.1
1,3.0,0,3.0,1,Passenger,Titanic,0,1,0.1
0,1.0,0,52.0,1,Passenger,Titanic,0,1,0.1
0,1.0,0,40.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,24.0,0,Passenger,Titanic,0,1,0.1
0,2.0,0,36.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,16.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,25.0,1,Passenger,Titanic,0,1,0.1
1,1.0,0,58.0,1,Passenger,Titanic,0,1,0.1
1,1.0,0,35.0,0,Passenger,Titanic,0,1,0.1
0,1.0,0,47.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,25.0,0,Passenger,Titanic,0,1,0.1
1,2.0,0,41.0,1,Passenger,Titanic,0,1,0.1
0,1.0,0,37.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,22.0,0,Passenger,Titanic,0,1,0.1
1,1.0,0,63.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,45.0,0,Passenger,Titanic,0,1,0.1
0,2.0,0,30.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,7.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,35.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,65.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,28.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,16.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,19.0,0,Passenger,Titanic,0,1,0.1
0,1.0,0,47.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,33.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,30.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,22.0,0,Passenger,Titanic,0,1,0.1
1,2.0,0,42.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,22.0,0,Passenger,Titanic,0,1,0.1
1,1.0,0,26.0,0,Passenger,Titanic,0,1,0.1
1,1.0,0,19.0,1,Passenger,Titanic,0,1,0.1
0,2.0,0,36.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,24.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,24.0,0,Passenger,Titanic,0,1,0.1
0,1.0,0,47.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,23.5,0,Passenger,Titanic,0,1,0.1
0,1.0,0,2.0,1,Passenger,Titanic,0,1,0.1
1,1.0,0,35.0,0,Passenger,Titanic,0,1,0.1
1,1.0,0,50.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,22.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,19.0,0,Passenger,Titanic,0,1,0.1
1,2.0,0,30.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,26.5,0,Passenger,Titanic,0,1,0.1
1,1.0,0,0.92,1,Passenger,Titanic,0,1,0.1
1,1.0,0,31.0,0,Passenger,Titanic,0,1,0.1
1,1.0,0,17.0,1,Passenger,Titanic,0,1,0.1
0,2.0,0,30.0,1,Passenger,Titanic,0,1,0.1
1,1.0,0,30.0,0,Passenger,Titanic,0,1,0.1
1,1.0,0,24.0,0,Passenger,Titanic,0,1,0.1
1,1.0,0,18.0,1,Passenger,Titanic,0,1,0.1
0,2.0,0,26.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,28.0,0,Passenger,Titanic,0,1,0.1
0,2.0,0,43.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,26.0,0,Passenger,Titanic,0,1,0.1
1,2.0,0,24.0,1,Passenger,Titanic,0,1,0.1
0,2.0,0,54.0,0,Passenger,Titanic,0,1,0.1
1,1.0,0,31.0,1,Passenger,Titanic,0,1,0.1
1,1.0,0,40.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,22.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,27.0,0,Passenger,Titanic,0,1,0.1
1,2.0,0,30.0,0,Passenger,Titanic,0,1,0.1
1,2.0,0,22.0,1,Passenger,Titanic,0,1,0.1
1,1.0,0,36.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,61.0,0,Passenger,Titanic,0,1,0.1
1,2.0,0,36.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,31.0,1,Passenger,Titanic,0,1,0.1
1,1.0,0,16.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,0.75,1,Passenger,Titanic,0,1,0.1
0,1.0,0,45.5,0,Passenger,Titanic,0,1,0.1
0,1.0,0,38.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,16.0,1,Passenger,Titanic,0,1,0.1
1,1.0,0,38.5,1,Passenger,Titanic,0,1,0.1
0,3.0,0,26.5,0,Passenger,Titanic,0,1,0.1
0,1.0,0,29.0,1,Passenger,Titanic,0,1,0.1
1,1.0,0,41.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,45.0,0,Passenger,Titanic,0,1,0.1
0,1.0,0,45.0,0,Passenger,Titanic,0,1,0.1
1,2.0,0,2.0,1,Passenger,Titanic,0,1,0.1
1,1.0,0,24.0,1,Passenger,Titanic,0,1,0.1
0,2.0,0,28.0,0,Passenger,Titanic,0,1,0.1
0,2.0,0,25.0,0,Passenger,Titanic,0,1,0.1
0,2.0,0,36.0,0,Passenger,Titanic,0,1,0.1
1,2.0,0,24.0,0,Passenger,Titanic,0,1,0.1
1,2.0,0,40.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,21.5,1,Passenger,Titanic,0,1,0.1
1,3.0,0,3.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,42.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,23.0,0,Passenger,Titanic,0,1,0.1
0,1.0,0,47.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,15.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,25.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,26.5,0,Passenger,Titanic,0,1,0.1
0,3.0,0,28.0,0,Passenger,Titanic,0,1,0.1
1,1.0,0,22.0,1,Passenger,Titanic,0,1,0.1
0,2.0,0,38.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,22.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,22.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,40.0,1,Passenger,Titanic,0,1,0.1
0,2.0,0,29.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,45.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,35.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,26.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,30.0,0,Passenger,Titanic,0,1,0.1
1,1.0,0,60.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,22.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,22.0,0,Passenger,Titanic,0,1,0.1
1,1.0,0,24.0,0,Passenger,Titanic,0,1,0.1
1,1.0,0,25.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,18.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,19.0,0,Passenger,Titanic,0,1,0.1
0,1.0,0,22.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,3.0,1,Passenger,Titanic,0,1,0.1
1,1.0,0,38.5,1,Passenger,Titanic,0,1,0.1
1,3.0,0,22.0,0,Passenger,Titanic,0,1,0.1
0,1.0,0,27.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,20.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,19.0,0,Passenger,Titanic,0,1,0.1
1,1.0,0,42.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,1.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,32.0,0,Passenger,Titanic,0,1,0.1
1,1.0,0,35.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,26.5,0,Passenger,Titanic,0,1,0.1
0,2.0,0,18.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,1.0,1,Passenger,Titanic,0,1,0.1
1,2.0,0,36.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,26.5,0,Passenger,Titanic,0,1,0.1
1,2.0,0,17.0,0,Passenger,Titanic,0,1,0.1
1,1.0,0,36.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,21.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,28.0,1,Passenger,Titanic,0,1,0.1
1,1.0,0,23.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,24.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,22.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,31.0,0,Passenger,Titanic,0,1,0.1
0,2.0,0,46.0,0,Passenger,Titanic,0,1,0.1
0,2.0,0,23.0,0,Passenger,Titanic,0,1,0.1
1,2.0,0,28.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,39.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,26.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,21.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,28.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,20.0,0,Passenger,Titanic,0,1,0.1
0,2.0,0,34.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,51.0,0,Passenger,Titanic,0,1,0.1
1,2.0,0,3.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,21.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,5.5,1,Passenger,Titanic,0,1,0.1
0,3.0,0,26.5,0,Passenger,Titanic,0,1,0.1
0,3.0,0,26.5,0,Passenger,Titanic,0,1,0.1
1,1.0,0,33.0,1,Passenger,Titanic,0,1,0.1
0,2.0,0,30.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,44.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,24.0,0,Passenger,Titanic,0,1,0.1
1,2.0,0,34.0,1,Passenger,Titanic,0,1,0.1
1,2.0,0,18.0,1,Passenger,Titanic,0,1,0.1
0,2.0,0,30.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,10.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,26.5,0,Passenger,Titanic,0,1,0.1
0,3.0,0,21.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,29.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,28.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,18.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,26.5,0,Passenger,Titanic,0,1,0.1
1,2.0,0,28.0,1,Passenger,Titanic,0,1,0.1
1,2.0,0,19.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,26.5,0,Passenger,Titanic,0,1,0.1
1,3.0,0,32.0,0,Passenger,Titanic,0,1,0.1
1,1.0,0,28.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,21.5,1,Passenger,Titanic,0,1,0.1
1,2.0,0,42.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,17.0,0,Passenger,Titanic,0,1,0.1
0,1.0,0,50.0,1,Passenger,Titanic,0,1,0.1
1,1.0,0,14.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,21.0,1,Passenger,Titanic,0,1,0.1
1,2.0,0,24.0,1,Passenger,Titanic,0,1,0.1
0,1.0,0,64.0,1,Passenger,Titanic,0,1,0.1
